proj_id,fund_code,management,retail_type,term_flag
M0501_2558,SI5C1,-,R,N
M0503_2552,I-EMERGING 10,-,R,N
M0504_2555,M-PTRO,-,R,N
M0507_2553,SPOT10S4,-,R,N
M0510_2555,KR-S1,-,R,N
M0510_2558,M-INNO1,AM,R,N
M0515_2548,MNIT,-,R,N
M0515_2552,I-CREDIT,-,R,N
M0517_2556,M-PROP DIV,AM,R,N
M0521_2559,MRECO2,AM,R,N
M0531_2552,SPOT10S2,-,R,N
M0532_2560,MRECO4,AM,R,N
M0534_2558,MRECO1,-,R,N
M0537_2559,M-PROPS3,AM,R,N
M0538_2558,MULTI1,AM,R,N
M0542_2555,HI-DIV PLUS,AM,R,N
M0544_2555,SPOT55,-,R,N
M0556_2552,M-PROPERTY,AM,R,N
M0574_2547,MIF,AM,R,N
M0579_2559,M-JAPAN MIDSMALL,AM,R,N
M0583_2560,SMO5A1,AM,R,N
M0588_2556,I-US7S2,-,R,N
M0589_2558,M-GHealth,-,R,N
M0599_2560,MRECO5,AM,R,N
M0601_2560,THMO1,AM,R,N
M0609_2552,I-BRIC RECOVERY 3,AM,R,N
M0613_2548,MA-LTF,AM,R,N
M0622_2562,SMART-PLUS,AM,R,N
M0633_2551,MM-GOV,SM,R,N
M0633_2558,I-OIL5S3,-,R,N
M0635_2555,I-MYS1,-,R,N
M0644_2555,I-HKS1,-,R,N
M0647_2552,I-10,AM,R,N
M0649_2555,I-SINGS1,-,R,N
M0650_2551,MGI,-,R,N
M0654_2556,D-SMART,-,R,N
M0656_2555,I-PHS1,-,R,N
M0657_2555,I-INDOS1,-,R,N
M0663_2553,SPOT10S5,-,R,N
M0666_2554,SPOT7S3,-,R,N
M0684_2550,I-CHIC,AM,R,N
M0699_2554,SPOT7S4,-,R,N
M0699_2559,M-PROPS4,AM,R,N
M0701_2552,I-REITS 10,-,R,N
M0723_2551,MFC SMALL CAP,-,R,N
M0790_2554,I-GOLD7S3,AM,R,N
M0794_2548,MGA,AM,R,N
M0807_2555,SPOT55S2,-,R,N
M0808_2555,SPOT55S3,-,R,N
M0814_2553,SPOT10S6,-,R,N
M0814_2554,M-AAA,-,R,N
M0820_2554,M-ENER,-,R,N
M0830_2548,M-CR,AM,R,N
M0834_2557,SI5E2,AM,R,N
M0848_2553,SPOT7,-,R,N
M0857_2553,I-CHINA10S2,-,R,N
M0868_2555,SPOT33,-,R,N
M0871_2553,I-US10,-,R,N
M0905_2554,SPOT7S5,-,R,N
M0910_2553,SPOT7S2,-,R,N
M0918_2555,SPOT33S2,-,R,N
M0918_2556,SI5A1,-,R,N
M0919_2555,SPOT33S3,-,R,N
M0922_2553,I-REITS 10S2,-,R,N
M0933_2547,MMM,SM,R,N
M0942_2555,M-II,-,R,N
M0962_2556,HPF,-,R,N
M0963_2553,SPOT10S7,-,R,N
M0997_2553,M-CASH,-,R,N
M1025_2553,I-US10S2,-,R,N
M1031_2553,I-Emerging 10S2,AM,R,N
M1033_2553,I-GOLD7,-,R,N
M1105_2557,SI5A2,-,R,N
M1112_2557,M-FLEX,AM,R,N
M0073_2551,KP-3MC,-,R,N
M0308_2551,PRB,-,R,N
M0383_2550,P6MSET50,-,R,N
M0464_2550,PNR,-,R,N
M0508_2550,PHF,-,R,N
M0509_2550,PCF,-,R,N
M0524_2551,PCE,-,R,N
M0632_2551,PSS,-,R,N
M0704_2551,KPMP,-,R,N
M0825_2554,TC-GDFX,-,R,N
M0965_2554,TC-GB,-,R,N
M0002_2545,TMBTM,AM,R,N
M0009_2540,TMBMF,AM,R,N
M0011_2553,TMBBF,AM,R,N
M0012_2553,TMBTHANAPLUS,AM,R,N
M0013_2563,TMB-ES-CHINA-A,OT,R,N
M0033_2549,TMBT3M1,-,R,N
M0035_2549,TMBT6M1,-,R,N
M0038_2549,TMBT1Y1,-,R,N
M0038_2555,TMBFIP6M2,-,R,N
M0039_2555,TMBFIP1Y2,-,R,N
M0058_2549,TMBT1Y2,-,R,N
M0059_2549,TMBT6M2,-,R,N
M0064_2549,TMBT3M2,-,R,N
M0100_2549,TMBT3M3,-,R,N
M0100_2560,TMBEAE,OT,R,N
M0101_2549,TMBT6M3,-,R,N
M0102_2549,TMBT1Y3,-,R,N
M0117_2561,TMBINDAE,OT,R,N
M0123_2557,TMBJET10,-,R,N
M0124_2549,TMBT6M4,-,R,N
M0125_2549,TMBT1Y4,-,R,N
M0135_2554,TMBUSO,OT,R,N
M0138_2556,TMBP6M2B,-,R,N
M0139_2555,TMBAASF,AM,R,N
M0139_2558,TMBJET8(4),-,R,N
M0140_2555,TMBAAMF,AM,R,N
M0141_2555,TMBAALF,AM,R,N
M0151_2555,TMBFIP6M3,-,R,N
M0157_2549,TMBT6M5,-,R,N
M0165_2542,TMBCB,AM,R,N
M0183_2549,TMBT6M6,-,R,N
M0184_2549,TMBT1Y6,-,R,N
M0194_2549,TMBT1Y7,-,R,N
M0194_2558,TMBNDQ100,-,R,N
M0209_2560,TMBEBF,OT,R,N
M0221_2555,TMBP6M4A,-,R,N
M0221_2557,TMBPIPF,AM,R,N
M0225_2555,TMBT6M4A,-,R,N
M0226_2558,TMBAGLT8(2),-,R,N
M0238_2549,TMBT1Y8,-,R,N
M0239_2549,TMBT1Y9,-,R,N
M0253_2561,TMB-ES-APPF,AM,R,N
M0264_2559,TMBINCOME,OT,R,N
M0277_2562,TMB-ES-GCORE,OT,R,N
M0280_2555,TMBP6M4B,-,R,N
M0286_2557,TMBJET10(2),-,R,N
M0302_2558,TMBCT8(3),-,R,N
M0307_2559,TMBGINFRA,OT,R,N
M0316_2555,TMBT6M5A,-,R,N
M0322_2549,TMBT1Y10,-,R,N
M0324_2549,TMBT1Y12,-,R,N
M0343_2555,TMBP6M5B,-,R,N
M0344_2558,TMBCT8(4),-,R,N
M0345_2558,TMBJET8(5),-,R,N
M0355_2558,TMBGET8,-,R,N
M0364_2557,TMBABF,AM,R,N
M0374_2557,TMBCT8,-,R,N
M0383_2558,TMBAGLT8(3),-,R,N
M0386_2560,TMBGVALUE,OT,R,N
M0390_2555,TMBP6M6A,-,R,N
M0391_2555,TMBT6M6A,-,R,N
M0403_2558,TMBJET8(6),-,R,N
M0416_2558,TMBINDT8,-,R,N
M0424_2557,TMBPIPRMF,AM,R,N
M0429_2562,TMB-ES-IALLO,OT,R,N
M0436_2560,TMB-THAICG,AM,R,N
M0447_2555,TMBP6M6B,-,R,N
M0448_2558,TMBGERT8(2),-,R,N
M0451_2558,TMBEUROT8,-,R,N
M0455_2559,TMBTMSMV,OT,R,N
M0471_2557,TMBAGLT8,-,R,N
M0478_2550,TMBKREQ,-,R,N
M0504_2557,TMBJET8,-,R,N
M0511_2555,TMBT6M1A,-,R,N
M0512_2555,TMBP6M1A,-,R,N
M0512_2559,TMBGHY,OT,R,N
M0516_2550,TMBEUEQ,-,R,N
M0516_2551,TMBUSDMM,-,R,N
M0525_2559,TMBTMSMVRMF,OT,R,N
M0526_2559,TMBTMSMVLTF,OT,R,N
M0533_2558,TMBUSB,AM,R,N
M0541_2559,TMBABRMF,AM,R,N
M0543_2551,TMBEUROMM,-,R,N
M0544_2551,TMBPOUNDMM,-,R,N
M0549_2555,TMBP6M1B,-,R,N
M0555_2560,TMBGPROP,OT,R,N
M0568_2559,TMBASIAB,OT,R,N
M0576_2553,TMBBFRMF,-,R,N
M0583_2555,TMBP6M3A,-,R,N
M0605_2546,TMBMRMF,AM,R,N
M0648_2560,TMBEAERMF,OT,R,N
M0650_2560,TMBGPROPRMF,OT,R,N
M0661_2551,ENGY RMF,-,R,N
M0680_2553,MESTFI,-,R,N
M0708_2562,TMB-ES-GSBOND,OT,R,N
M0720_2555,TMBP6M3B,-,R,N
M0772_2553,MEB,-,R,N
M0773_2553,ME50,-,R,N
M0784_2555,TMBUS500,OT,R,N
M0870_2548,TMBGOLD,OT,R,N
M0923_2556,TMBHD,-,R,N
M0974_2556,TMBSF6M2,-,R,N
M0978_2556,TMBEGT55,-,R,N
M0989_2555,TMBUS500RMF,OT,R,N
M1034_2553,TMBGOLDSRMF,OT,R,N
M1035_2553,TMBGOLDS,OT,R,N
M1098_2557,TMBUS500T8,-,R,N
M1135_2557,TMBJET8(2),-,R,N
M1156_2557,TMBCT8(2),-,R,N
M1243_2557,TMBJET8(3),-,R,N
M0001_2549,SCBGB1/12,-,R,N
M0002_2549,SCBGB2/12,BH,R,N
M0002_2563,SCBDPLUS,AM,R,N
M0003_2539,SCBSFF,AM,R,N
M0004_2536,SCBMF2,-,R,N
M0004_2537,SCBMF5,-,R,N
M0005_2536,SCBMF3,-,R,N
M0005_2537,SCBDAFUND,AM,R,N
M0005_2558,SCBCHAFUND,OT,R,N
M0006_2539,SCBRF,AM,R,N
M0006_2563,SCBSPLUS,AM,R,N
M0007_2536,SCBTS,-,R,N
M0007_2538,SCBPMOFUND,SM,R,N
M0008_2535,SCBPF,-,R,N
M0008_2536,SCBTS2,-,R,N
M0009_2535,SCBMF,-,R,N
M0009_2536,SCBPG,-,R,N
M0010_2536,SCBMF4,-,R,N
M0011_2536,SCBTS3,-,R,N
M0015_2549,SCBGB3/12,BH,R,N
M0024_2560,SCBUSHY,OT,R,N
M0026_2551,SCBAEMFUND,OT,R,N
M0031_2557,SCBEUEQFUND,OT,R,N
M0058_2556,SCBTG7-4,-,R,N
M0061_2561,SCBFIN,OT,R,N
M0065_2558,SCBINDIAFUND,OT,R,N
M0074_2544,SCBRM2,SM,R,N
M0079_2544,SCBRM1,SM,R,N
M0080_2544,SCBRM3,SM,R,N
M0081_2544,SCBRM4,SM,R,N
M0086_2559,SCBST555B,AM,R,N
M0090_2561,SCBLTSE,AM,R,N
M0093_2558,SCBTG3P3B,AM,R,N
M0094_2561,SCBOPP,OT,R,N
M0110_2559,SCBABSFUND,OT,R,N
M0112_2561,SCBJSM,AM,R,N
M0117_2549,SCBGB4/12,BH,R,N
M0124_2561,SCBCHEQ,OT,R,N
M0139_2549,SCBGB5/12,-,R,N
M0141_2559,SCBEUSMFUND,OT,R,N
M0142_2561,SCBJPSM,AM,R,N
M0151_2563,SCB70SSF,AM,R,N
M0154_2561,SCBFIXED,AM,R,N
M0155_2556,SCBCEHFUND,OT,R,N
M0162_2549,SCBGB6/12,-,R,N
M0171_2558,SCBTG3P3C,AM,R,N
M0173_2552,SCBAUDFUND,AM,R,N
M0181_2563,SCBEQSSF,AM,R,N
M0185_2558,SCBTG3P3D,AM,R,N
M0190_2542,T-MIL,-,R,N
M0191_2550,SCBLTS,AM,R,N
M0202_2554,POPF,-,R,N
M0205_2558,SCBTG3P3E,-,R,N
M0207_2549,SCBPGFUND,OT,R,N
M0210_2556,ERWPF,-,R,N
M0215_2549,SCBGB7/12,-,R,N
M0216_2556,SCBCEH2,-,R,N
M0228_2554,SCBSEFUND,AM,R,N
M0229_2558,SCBIBLN,-,R,N
M0232_2558,SCBTG3P3F,-,R,N
M0241_2554,SCBGOLDFUND,OT,R,N
M0245_2559,SCBDIGIFUND,OT,R,N
M0252_2557,SIRIP,-,R,N
M0260_2550,SCBLT4FUND,AM,R,N
M0263_2550,SCBLTTFUND,AM,R,N
M0279_2561,SCBPIN,AM,R,N
M0284_2555,SCBEMBOND,OT,R,N
M0298_2560,SCBWIN,AM,R,N
M0300_2559,SCBMPLUS,OT,R,N
M0306_2552,SCBTMF,AM,R,N
M0322_2561,SCBGEAR,OT,R,N
M0324_2562,SCBMILD,AM,R,N
M0325_2562,SCBCLASSIC,AM,R,N
M0327_2562,SCBSPICY,AM,R,N
M0341_2558,SCBTG3P3G,-,R,N
M0341_2562,SCBRAA,OT,R,N
M0342_2558,SCBTG3P3H,-,R,N
M0360_2559,SCBATGA,OT,R,N
M0365_2558,SCBCATG,-,R,N
M0366_2558,SCBGIFUND,OT,R,N
M0380_2561,SCBGML,AM,R,N
M0382_2561,SCBTG,AM,R,N
M0384_2558,SCBCHTG,-,R,N
M0386_2558,SCBBLNFUND,AM,R,N
M0387_2558,SCBJPTG,-,R,N
M0400_2555,SCBTMFPLUS,AM,R,N
M0406_2559,SCBGPROPFUND,OT,R,N
M0408_2560,SCBROBO,AM,R,N
M0410_2559,SCBTEQFUND,AM,R,N
M0416_2560,SCBAEMH,OT,R,N
M0417_2553,SCBOIL,-,R,N
M0422_2558,SCBEUEQTG,-,R,N
M0424_2562,SCBRMPIN,AM,R,N
M0425_2562,SCBRMLEQ,OT,R,N
M0426_2562,SCBRMS&P500,OT,R,N
M0429_2556,SCBNKY225,OT,R,N
M0429_2559,SCBFLX,AM,R,N
M0433_2556,SCBSFPLUS,-,R,N
M0438_2556,CRYSTAL,-,R,N
M0449_2558,SCBGHCFUND,OT,R,N
M0452_2546,SCBDVFUND,AM,R,N
M0460_2548,SCBGB9/12,BH,R,N
M0462_2560,SCBTHAICG,AM,R,N
M0464_2548,SCBLT3FUND,AM,R,N
M0489_2553,SCBFPFUND,AM,R,N
M0492_2558,SCBASEAN,AM,R,N
M0494_2561,SCBTG-2,AM,R,N
M0511_2558,SCBRMJP,OT,R,N
M0513_2558,SCBTGI,AM,R,N
M0514_2558,SCBTGJ,AM,R,N
M0518_2558,SCBRMGIF,OT,R,N
M0522_2555,SCBOILFUND,OT,R,N
M0522_2558,SCBRMEU,OT,R,N
M0526_2560,SCBPOP,AM,R,N
M0529_2562,SCBLARGE,AM,R,N
M0536_2562,SCBMOMENT,AM,R,N
M0537_2556,SPWPF,-,R,N
M0537_2562,SCBQUALITY,AM,R,N
M0538_2562,SCBVALUE,AM,R,N
M0543_2562,SCBEQUAL,SM,R,N
M0550_2560,SCBMLT,OT,R,N
M0559_2557,SCBKEQTGFUND,OT,R,N
M0565_2558,SCBGRTG,-,R,N
M0570_2560,SCBRMPOP,AM,R,N
M0579_2557,SCBUSSMTG,-,R,N
M0593_2558,SCBRMGHC,OT,R,N
M0604_2557,SCBTRTG,-,R,N
M0612_2558,SCBRMUS,-,R,N
M0616_2557,SCBTRTG2,-,R,N
M0618_2557,SCBTRTG3,-,R,N
M0619_2557,SCBTRTG4,-,R,N
M0620_2552,SCBCEFUND,OT,R,N
M0620_2557,SCBTRTG5,-,R,N
M0623_2547,SCBLT1FUND,AM,R,N
M0624_2548,SCBGB8/12,BH,R,N
M0626_2547,SCBLT2FUND,AM,R,N
M0641_2558,SCBUSSMFUND,OT,R,N
M0643_2555,SCBS&P500FUND,OT,R,N
M0662_2560,SCBINC,AM,R,N
M0665_2562,SCBLARGO,OT,R,N
M0674_2557,SCBTRTG2,-,R,N
M0676_2558,SCBFSTFUND,AM,R,N
M0677_2557,SCBTRTG3,-,R,N
M0684_2559,SCBGIN,AM,R,N
M0696_2557,SCBTWEQTG,-,R,N
M0705_2555,CPNCG,-,R,N
M0713_2562,SCBMBOND,OT,R,N
M0715_2562,SCBADAGIO,OT,R,N
M0728_2551,SCBIL,-,R,N
M0732_2556,SCBSFFPLUS,AM,R,N
M0749_2558,SCBLEQFUND,OT,R,N
M0754_2548,CPNRF,-,R,N
M0763_2558,SCBST555A,AM,R,N
M0772_2558,SCBPLUSFUND,OT,R,N
M0778_2554,SCBGOLDHRMF,OT,R,N
M0792_2555,SCBEMEQFUND,OT,R,N
M0824_2548,SCBGB10/12,BH,R,N
M0828_2554,SCBGLOW,AM,R,N
M0856_2553,SCBGOLDHFUND,OT,R,N
M0861_2548,SCBGB11/12,BH,R,N
M0866_2554,SCBGLOB,OT,R,N
M0866_2556,DIF,-,R,N
M0874_2554,SCBGSIFUND,OT,R,N
M0875_2556,TGROWTH,-,R,N
M0882_2554,SCBCOMP,OT,R,N
M0883_2548,SCBGB12/12,BH,R,N
M0909_2555,SCBGEQFUND,OT,R,N
M0932_2554,SCBGLOWP,AM,R,N
M0933_2554,SCBRMGW,AM,R,N
M0935_2554,SCBRMGWP,AM,R,N
M0977_2556,PPF,-,R,N
M1080_2557,SCBMSEFUND,AM,R,N
M1233_2557,SCBTG3P3A,-,R,N
M0020_2539,ABG,AM,R,N
M0027_2541,ABCC,AM,R,N
M0035_2547,ABSL,AM,R,N
M0041_2554,ABIG,AM,R,N
